City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vanimo,PG,77.07,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
2,Caravelas,BR,79.75,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
5,Hilo,US,87.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
12,Tingo Maria,PE,89.91,few clouds,-9.2895,-76.0088,Hospedaje Paraíso
16,Sur,OM,79.43,clear sky,22.5667,59.5289,Sur Plaza Hotel
17,Marrakesh,MA,87.87,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
26,Sunland Park,US,78.91,clear sky,31.7965,-106.58,SpringHill Suites by Marriott El Paso
28,Brownsville,US,87.8,broken clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
30,Gaozhou,CN,75.33,clear sky,21.9392,110.8461,望江楼旅业
33,Kapaa,US,81.1,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
37,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
38,Vila Franca Do Campo,PT,77.2,light rain,37.7167,-25.4333,Pestana Bahia Praia
40,Hasaki,JP,80.22,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
44,Guerrero Negro,MX,75.22,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
45,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
47,Atuona,PF,76.8,few clouds,-9.8,-139.0333,Villa Enata
49,Bahile,PH,78.31,few clouds,9.9995,118.7878,Nitivos Beach Resort
50,Dhidhdhoo,MV,81.61,overcast clouds,6.8833,73.1,Dhidhoo beach
51,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Luanda,AO,75.2,few clouds,-8.8368,13.2343,EPIC SANA Luanda
56,Caucaia,BR,84.15,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
63,Nishihara,JP,79.88,clear sky,26.1842,127.7558,Minshuku Agaihama
64,Ciudad Arce,SV,89.22,overcast clouds,13.8403,-89.4472,Parqueo
68,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Takoradi,GH,76.98,overcast clouds,4.8845,-1.7554,Raybow International Hotel
77,Hobyo,SO,77.29,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
80,Kapoeta,SS,75.92,clear sky,4.7717,33.5903,Eastgate Hotel
83,Pineville,US,84.92,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
86,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
87,San Cristobal,VE,82.58,few clouds,7.7669,-72.225,Pirineos
89,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
90,Saint Anthony,US,79.09,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
91,Yenagoa,NG,77.09,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
98,Butaritari,KI,81.27,few clouds,3.0707,172.7902,Isles Sunset Lodge
106,Salinopolis,BR,83.28,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
107,Coahuayana,MX,85.91,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
