City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Uray,RU,60.1247,64.7758,46.99,91,56,5.57,broken clouds
1,Vanimo,PG,-2.6741,141.3028,77.07,90,99,5.08,overcast clouds
2,Caravelas,BR,-17.7125,-39.2481,79.75,64,97,13.02,overcast clouds
3,Loreto,MX,22.2667,-101.9667,71.15,44,23,5.3,few clouds
4,Saskylakh,RU,71.9167,114.0833,21.52,96,100,4.23,light snow
5,Hilo,US,19.7297,-155.09,87.28,67,20,5.01,few clouds
6,Zhezkazgan,KZ,47.8043,67.7144,44.26,25,0,13.09,clear sky
7,Rikitea,PF,-23.1203,-134.9692,69.12,66,57,25.23,broken clouds
8,Broome,US,42.2506,-75.833,56.17,72,100,13.8,overcast clouds
9,Ponta Do Sol,PT,32.6667,-17.1,72.23,81,7,3.62,clear sky
10,Cherskiy,RU,68.75,161.3,19.71,85,23,4.25,few clouds
11,Jamestown,US,42.097,-79.2353,62.02,33,0,10.36,clear sky
12,Tingo Maria,PE,-9.2895,-76.0088,89.91,55,20,6.91,few clouds
13,Hermanus,ZA,-34.4187,19.2345,49.8,68,0,3.04,clear sky
14,Hofn,IS,64.2539,-15.2082,46.56,95,100,9.13,overcast clouds
15,New Norfolk,AU,-42.7826,147.0587,38.91,72,100,1.19,overcast clouds
16,Sur,OM,22.5667,59.5289,79.43,73,0,10.2,clear sky
17,Marrakesh,MA,31.6315,-8.0083,87.87,22,0,4.61,clear sky
18,Sydney,AU,-33.8679,151.2073,60.58,85,75,14.97,light rain
19,Kodiak,US,57.79,-152.4072,53.11,94,100,26.46,heavy intensity rain
20,Mataura,NZ,-46.1927,168.8643,34.11,99,100,9.04,snow
21,Kashi,CN,39.4547,75.9797,56.41,58,84,4.47,broken clouds
22,Yakeshi,CN,49.2833,120.7333,25.34,48,100,2.66,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,56.86,44,20,8.05,few clouds
24,Fort-Shevchenko,KZ,44.5086,50.263,68.32,28,20,23.96,few clouds
25,Chuy,UY,-33.6971,-53.4616,62.74,60,16,9.89,few clouds
26,Sunland Park,US,31.7965,-106.58,78.91,41,0,3.0,clear sky
27,Port Alfred,ZA,-33.5906,26.891,58.17,87,90,9.35,overcast clouds
28,Brownsville,US,25.9018,-97.4975,87.8,54,75,8.05,broken clouds
29,Port Hedland,AU,-20.3167,118.5667,66.25,94,5,5.75,clear sky
30,Gaozhou,CN,21.9392,110.8461,75.33,96,6,2.51,clear sky
31,Nanortalik,GL,60.1432,-45.2371,37.45,88,100,14.81,light rain
32,Baraboo,US,43.4711,-89.7443,74.61,38,0,6.91,clear sky
33,Kapaa,US,22.0752,-159.319,81.1,77,75,14.97,broken clouds
34,Vaini,TO,-21.2,-175.2,77.16,88,40,3.44,scattered clouds
35,Cerkezkoy,TR,41.285,28.0003,53.78,76,40,8.05,scattered clouds
36,Tasiilaq,GL,65.6145,-37.6368,39.36,62,70,7.61,broken clouds
37,Avarua,CK,-21.2078,-159.775,77.05,73,75,20.71,broken clouds
38,Vila Franca Do Campo,PT,37.7167,-25.4333,77.2,88,42,8.72,light rain
39,Orebro,SE,59.2741,15.2066,55.58,82,75,9.22,broken clouds
40,Hasaki,JP,35.7333,140.8333,80.22,83,100,15.86,overcast clouds
41,Adrar,MR,20.5022,-10.0711,100.18,14,10,10.67,clear sky
42,Tura,IN,25.5198,90.2201,72.95,87,97,2.04,overcast clouds
43,Yellowknife,CA,62.456,-114.3525,36.12,69,75,11.5,broken clouds
44,Guerrero Negro,MX,27.9769,-114.0611,75.22,65,41,10.16,scattered clouds
45,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,20.71,scattered clouds
46,Henties Bay,NA,-22.116,14.2845,55.17,91,0,7.2,clear sky
47,Atuona,PF,-9.8,-139.0333,76.8,68,23,22.95,few clouds
48,Cape Town,ZA,-33.9258,18.4232,58.12,59,0,5.75,clear sky
49,Bahile,PH,9.9995,118.7878,78.31,83,21,2.19,few clouds
50,Dhidhdhoo,MV,6.8833,73.1,81.61,78,100,17.67,overcast clouds
51,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,69,75,9.22,broken clouds
52,Khatanga,RU,71.9667,102.5,22.73,97,100,6.38,light snow
53,Luanda,AO,-8.8368,13.2343,75.2,83,20,10.36,few clouds
54,Salym,RU,60.0625,71.4789,43.81,94,100,3.62,overcast clouds
55,Lavrentiya,RU,65.5833,-171.0,34.79,75,23,5.95,few clouds
56,Caucaia,BR,-3.7361,-38.6531,84.15,72,0,12.66,clear sky
57,North Bend,US,43.4065,-124.2243,58.15,94,100,3.44,overcast clouds
58,East London,ZA,-33.0153,27.9116,63.9,70,9,9.53,clear sky
